queryId,method,metric,value
q004,bm25,ndcg@10,1.0
q004,bm25,recall@10,1.0
q004,bm25,mrr@10,1.0
q004,bm25,precision@5,0.8
q004,lsa_vector,ndcg@10,1.0
q004,lsa_vector,recall@10,1.0
q004,lsa_vector,mrr@10,1.0
q004,lsa_vector,precision@5,0.8
q004,hybrid_rrf,ndcg@10,1.0
q004,hybrid_rrf,recall@10,1.0
q004,hybrid_rrf,mrr@10,1.0
q004,hybrid_rrf,precision@5,0.8
q005,no_retrieval,ndcg@10,0.0
q005,no_retrieval,recall@10,0.0
q005,no_retrieval,mrr@10,0.0
q005,no_retrieval,precision@5,0.0
q005,bm25,ndcg@10,0.961999
q005,bm25,recall@10,1.0
q005,bm25,mrr@10,1.0
q005,bm25,precision@5,0.6
q005,lsa_vector,ndcg@10,0.831872
q005,lsa_vector,recall@10,0.75
q005,lsa_vector,mrr@10,1.0
q005,lsa_vector,precision@5,0.6
q005,hybrid_rrf,ndcg@10,0.831872
q005,hybrid_rrf,recall@10,0.75
q005,hybrid_rrf,mrr@10,1.0
q005,hybrid_rrf,precision@5,0.6
q006,no_retrieval,ndcg@10,0.0
q006,no_retrieval,recall@10,0.0
q006,no_retrieval,mrr@10,0.0
q006,no_retrieval,precision@5,0.0
q006,bm25,ndcg@10,0.787702
q006,bm25,recall@10,0.75
q006,bm25,mrr@10,1.0
q006,bm25,precision@5,0.6
q006,lsa_vector,ndcg@10,0.831872
q006,lsa_vector,recall@10,0.75
q006,lsa_vector,mrr@10,1.0
q006,lsa_vector,precision@5,0.6
q006,hybrid_rrf,ndcg@10,0.831872
q006,hybrid_rrf,recall@10,0.75
q006,hybrid_rrf,mrr@10,1.0
q006,hybrid_rrf,precision@5,0.6
q007,no_retrieval,ndcg@10,0.0
q007,no_retrieval,recall@10,0.0
q007,no_retrieval,mrr@10,0.0
q007,no_retrieval,precision@5,0.0
q007,bm25,ndcg@10,0.868795
q007,bm25,recall@10,0.8
q007,bm25,mrr@10,1.0
q007,bm25,precision@5,0.8
q007,lsa_vector,ndcg@10,0.853932
q007,lsa_vector,recall@10,0.8
q007,lsa_vector,mrr@10,1.0
q007,lsa_vector,precision@5,0.8
q007,hybrid_rrf,ndcg@10,0.868795
q007,hybrid_rrf,recall@10,0.8
q007,hybrid_rrf,mrr@10,1.0
q007,hybrid_rrf,precision@5,0.8
q008,no_retrieval,ndcg@10,0.0
q008,no_retrieval,recall@10,0.0
q008,no_retrieval,mrr@10,0.0
q008,no_retrieval,precision@5,0.0
q008,bm25,ndcg@10,0.910853
q008,bm25,recall@10,1.0
q008,bm25,mrr@10,1.0
q008,bm25,precision@5,0.6
q008,lsa_vector,ndcg@10,0.80481
q008,lsa_vector,recall@10,0.75
q008,lsa_vector,mrr@10,1.0
q008,lsa_vector,precision@5,0.6
q008,hybrid_rrf,ndcg@10,0.80481
q008,hybrid_rrf,recall@10,0.75
q008,hybrid_rrf,mrr@10,1.0
q008,hybrid_rrf,precision@5,0.6
q009,no_retrieval,ndcg@10,0.0
q009,no_retrieval,recall@10,0.0
q009,no_retrieval,mrr@10,0.0
q009,no_retrieval,precision@5,0.0
q009,bm25,ndcg@10,0.831872
q009,bm25,recall@10,0.75
q009,bm25,mrr@10,1.0
q009,bm25,precision@5,0.6
q009,lsa_vector,ndcg@10,0.831872
q009,lsa_vector,recall@10,0.75
q009,lsa_vector,mrr@10,1.0
q009,lsa_vector,precision@5,0.6
q009,hybrid_rrf,ndcg@10,0.831872
q009,hybrid_rrf,recall@10,0.75
q009,hybrid_rrf,mrr@10,1.0
q009,hybrid_rrf,precision@5,0.6
q010,no_retrieval,ndcg@10,0.0
q010,no_retrieval,recall@10,0.0
q010,no_retrieval,mrr@10,0.0
q010,no_retrieval,precision@5,0.0
q010,bm25,ndcg@10,1.0
q010,bm25,recall@10,1.0
q010,bm25,mrr@10,1.0
q010,bm25,precision@5,0.8
q010,lsa_vector,ndcg@10,1.0
q010,lsa_vector,recall@10,1.0
q010,lsa_vector,mrr@10,1.0
q010,lsa_vector,precision@5,0.8
q010,hybrid_rrf,ndcg@10,1.0
q010,hybrid_rrf,recall@10,1.0
q010,hybrid_rrf,mrr@10,1.0
q010,hybrid_rrf,precision@5,0.8
q011,no_retrieval,ndcg@10,0.0
q011,no_retrieval,recall@10,0.0
q011,no_retrieval,mrr@10,0.0
q011,no_retrieval,precision@5,0.0
q011,bm25,ndcg@10,0.981848
q011,bm25,recall@10,1.0
q011,bm25,mrr@10,1.0
q011,bm25,precision@5,0.8
q011,lsa_vector,ndcg@10,0.868795
q011,lsa_vector,recall@10,0.8
q011,lsa_vector,mrr@10,1.0
q011,lsa_vector,precision@5,0.8
q011,hybrid_rrf,ndcg@10,0.868795
q011,hybrid_rrf,recall@10,0.8
q011,hybrid_rrf,mrr@10,1.0
q011,hybrid_rrf,precision@5,0.8
q012,no_retrieval,ndcg@10,0.0
q012,no_retrieval,recall@10,0.0
q012,no_retrieval,mrr@10,0.0
q012,no_retrieval,precision@5,0.0
q012,bm25,ndcg@10,0.853932
q012,bm25,recall@10,0.8
q012,bm25,mrr@10,1.0
q012,bm25,precision@5,0.8
q012,lsa_vector,ndcg@10,0.868795
q012,lsa_vector,recall@10,0.8
q012,lsa_vector,mrr@10,1.0
q012,lsa_vector,precision@5,0.8
q012,hybrid_rrf,ndcg@10,0.868795
q012,hybrid_rrf,recall@10,0.8
q012,hybrid_rrf,mrr@10,1.0
q012,hybrid_rrf,precision@5,0.8
q013,no_retrieval,ndcg@10,0.0
q013,no_retrieval,recall@10,0.0
q013,no_retrieval,mrr@10,0.0
q013,no_retrieval,precision@5,0.0
q013,bm25,ndcg@10,0.868795
q013,bm25,recall@10,0.8
q013,bm25,mrr@10,1.0
q013,bm25,precision@5,0.8
q013,lsa_vector,ndcg@10,0.853932
q013,lsa_vector,recall@10,0.8
q013,lsa_vector,mrr@10,1.0
q013,lsa_vector,precision@5,0.8
q013,hybrid_rrf,ndcg@10,0.868795
q013,hybrid_rrf,recall@10,0.8
q013,hybrid_rrf,mrr@10,1.0
q013,hybrid_rrf,precision@5,0.8
q014,no_retrieval,ndcg@10,0.0
q014,no_retrieval,recall@10,0.0
q014,no_retrieval,mrr@10,0.0
q014,no_retrieval,precision@5,0.0
q014,bm25,ndcg@10,0.974743
q014,bm25,recall@10,1.0
q014,bm25,mrr@10,1.0
q014,bm25,precision@5,0.8
q014,lsa_vector,ndcg@10,0.853932
q014,lsa_vector,recall@10,0.8
q014,lsa_vector,mrr@10,1.0
q014,lsa_vector,precision@5,0.8
q014,hybrid_rrf,ndcg@10,0.951971
q014,hybrid_rrf,recall@10,1.0
q014,hybrid_rrf,mrr@10,1.0
q014,hybrid_rrf,precision@5,0.8
q015,no_retrieval,ndcg@10,0.0
q015,no_retrieval,recall@10,0.0
q015,no_retrieval,mrr@10,0.0
q015,no_retrieval,precision@5,0.0
q015,bm25,ndcg@10,0.810462
q015,bm25,recall@10,0.714286
q015,bm25,mrr@10,1.0
q015,bm25,precision@5,1.0
q015,lsa_vector,ndcg@10,0.810462
q015,lsa_vector,recall@10,0.714286
q015,lsa_vector,mrr@10,1.0
q015,lsa_vector,precision@5,1.0
q015,hybrid_rrf,ndcg@10,0.810462
q015,hybrid_rrf,recall@10,0.714286
q015,hybrid_rrf,mrr@10,1.0
q015,hybrid_rrf,precision@5,1.0
q016,no_retrieval,ndcg@10,0.0
q016,no_retrieval,recall@10,0.0
q016,no_retrieval,mrr@10,0.0
q016,no_retrieval,precision@5,0.0
q016,bm25,ndcg@10,0.868795
q016,bm25,recall@10,0.8
q016,bm25,mrr@10,1.0
q016,bm25,precision@5,0.8
q016,lsa_vector,ndcg@10,0.853932
q016,lsa_vector,recall@10,0.8
q016,lsa_vector,mrr@10,1.0
q016,lsa_vector,precision@5,0.8
q016,hybrid_rrf,ndcg@10,0.868795
q016,hybrid_rrf,recall@10,0.8
q016,hybrid_rrf,mrr@10,1.0
q016,hybrid_rrf,precision@5,0.8
q017,no_retrieval,ndcg@10,0.0
q017,no_retrieval,recall@10,0.0
q017,no_retrieval,mrr@10,0.0
q017,no_retrieval,precision@5,0.0
q017,bm25,ndcg@10,0.805163
q017,bm25,recall@10,0.8
q017,bm25,mrr@10,1.0
q017,bm25,precision@5,0.6
q017,lsa_vector,ndcg@10,0.722727
q017,lsa_vector,recall@10,0.6
q017,lsa_vector,mrr@10,1.0
q017,lsa_vector,precision@5,0.6
q017,hybrid_rrf,ndcg@10,0.699215
q017,hybrid_rrf,recall@10,0.6
q017,hybrid_rrf,mrr@10,1.0
q017,hybrid_rrf,precision@5,0.6
q018,no_retrieval,ndcg@10,0.0
q018,no_retrieval,recall@10,0.0
q018,no_retrieval,mrr@10,0.0
q018,no_retrieval,precision@5,0.0
q018,bm25,ndcg@10,0.831872
q018,bm25,recall@10,0.75
q018,bm25,mrr@10,1.0
q018,bm25,precision@5,0.6
q018,lsa_vector,ndcg@10,0.831872
q018,lsa_vector,recall@10,0.75
q018,lsa_vector,mrr@10,1.0
q018,lsa_vector,precision@5,0.6
q018,hybrid_rrf,ndcg@10,0.831872
q018,hybrid_rrf,recall@10,0.75
q018,hybrid_rrf,mrr@10,1.0
q018,hybrid_rrf,precision@5,0.6
q019,no_retrieval,ndcg@10,0.0
q019,no_retrieval,recall@10,0.0
q019,no_retrieval,mrr@10,0.0
q019,no_retrieval,precision@5,0.0
q019,bm25,ndcg@10,0.868795
q019,bm25,recall@10,0.8
q019,bm25,mrr@10,1.0
q019,bm25,precision@5,0.8
q019,lsa_vector,ndcg@10,0.722727
q019,lsa_vector,recall@10,0.6
q019,lsa_vector,mrr@10,1.0
q019,lsa_vector,precision@5,0.6
q019,hybrid_rrf,ndcg@10,0.82972
q019,hybrid_rrf,recall@10,0.8
q019,hybrid_rrf,mrr@10,1.0
q019,hybrid_rrf,precision@5,0.6
q020,no_retrieval,ndcg@10,0.0
q020,no_retrieval,recall@10,0.0
q020,no_retrieval,mrr@10,0.0
q020,no_retrieval,precision@5,0.0
q020,bm25,ndcg@10,0.843538
q020,bm25,recall@10,0.8
q020,bm25,mrr@10,1.0
q020,bm25,precision@5,0.6
q020,lsa_vector,ndcg@10,0.722727
q020,lsa_vector,recall@10,0.6
q020,lsa_vector,mrr@10,1.0
q020,lsa_vector,precision@5,0.6
q020,hybrid_rrf,ndcg@10,0.722727
q020,hybrid_rrf,recall@10,0.6
q020,hybrid_rrf,mrr@10,1.0
q020,hybrid_rrf,precision@5,0.6
q021,no_retrieval,ndcg@10,0.0
q021,no_retrieval,recall@10,0.0
q021,no_retrieval,mrr@10,0.0
q021,no_retrieval,precision@5,0.0
q021,bm25,ndcg@10,0.722727
q021,bm25,recall@10,0.6
q021,bm25,mrr@10,1.0
q021,bm25,precision@5,0.6
q021,lsa_vector,ndcg@10,0.722727
q021,lsa_vector,recall@10,0.6
q021,lsa_vector,mrr@10,1.0
q021,lsa_vector,precision@5,0.6
q021,hybrid_rrf,ndcg@10,0.722727
q021,hybrid_rrf,recall@10,0.6
q021,hybrid_rrf,mrr@10,1.0
q021,hybrid_rrf,precision@5,0.6
q022,no_retrieval,ndcg@10,0.0
q022,no_retrieval,recall@10,0.0
q022,no_retrieval,mrr@10,0.0
q022,no_retrieval,precision@5,0.0
q022,bm25,ndcg@10,1.0
q022,bm25,recall@10,1.0
q022,bm25,mrr@10,1.0
q022,bm25,precision@5,0.8
q022,lsa_vector,ndcg@10,1.0
q022,lsa_vector,recall@10,1.0
q022,lsa_vector,mrr@10,1.0
q022,lsa_vector,precision@5,0.8
q022,hybrid_rrf,ndcg@10,1.0
q022,hybrid_rrf,recall@10,1.0
q022,hybrid_rrf,mrr@10,1.0
q022,hybrid_rrf,precision@5,0.8
q023,no_retrieval,ndcg@10,0.0
q023,no_retrieval,recall@10,0.0
q023,no_retrieval,mrr@10,0.0
q023,no_retrieval,precision@5,0.0
q023,bm25,ndcg@10,0.966985
q023,bm25,recall@10,1.0
q023,bm25,mrr@10,1.0
q023,bm25,precision@5,0.8
q023,lsa_vector,ndcg@10,0.868795
q023,lsa_vector,recall@10,0.8
q023,lsa_vector,mrr@10,1.0
q023,lsa_vector,precision@5,0.8
q023,hybrid_rrf,ndcg@10,0.868795
q023,hybrid_rrf,recall@10,0.8
q023,hybrid_rrf,mrr@10,1.0
q023,hybrid_rrf,precision@5,0.8
